                        x                    pi(x)      Delta(x)
--------------------------------------------------------------------------------------------------
                        1.000                    0     // Delta(x) is defined for x greater than 1
                        1.001                    0     +0.9980013671971147597411165132419159510152
                        1.002                    0     +0.9960054640093819246706389477625023262759
                        1.003                    0     +0.9940122832879100503667712039179892652859
                        1.004                    0     +0.9920218179100083275136021479063957225295
                        1.005                    0     +0.9900340607790642444587152564222031830668
                        1.006                    0     +0.9880490048244219422475924593599926611564
                        1.007                    0     +0.9860666430012612575324736095342507936430
                        1.008                    0     +0.9840869682904774487884451500222439726442
                        1.009                    0     +0.9821099736985616013043413690636132115802
                        1.010                    0     +0.9801356522574817064505520285657171577421
                        1.011                    0     +0.9781639970245644107600439936345340160543
                        1.012                    0     +0.9761950010823774303928246153627520537505
                        1.013                    0     +0.9742286575386126265877038356131848048999
                        1.014                    0     +0.9722649595259697377385530694033375248022
                        1.015                    0     +0.9703039002020407637653146271456785292985
                        1.016                    0     +0.9683454727491949984827884859374038881091
                        1.017                    0     +0.9663896703744647057027162982543857877613
                        1.018                    0     +0.9644364863094314348368983014673448031509
                        1.019                    0     +0.9624859138101129718010198983183402237939
                        1.020                    0     +0.9605379461568509210505337250199883888741
                        1.021                    0     +0.9585925766541989146113425908251118547146
                        1.022                    0     +0.9566497986308114439991613146386010072279
                        1.023                    0     +0.9547096054393333109523037277131070699186
                        1.024                    0     +0.9527719904562896929332474575261730866372
                        1.025                    0     +0.9508369470819768193846760313528497432628
                        1.026                    0     +0.9489044687403532547557877878297266869940
                        1.027                    0     +0.9469745488789317843444964844824303216260
                        1.028                    0     +0.9450471809686718990307317371010893224860
                        1.029                    0     +0.9431223585038728750053808964383740195681
                        1.030                    0     +0.9412000750020674446285000077954421798964
                        1.031                    0     +0.9392803240039160545792624341360181347753
                        1.032                    0     +0.9373630990731017074887118538475312260333
                        1.033                    0     +0.9354483937962253832747439467785982275289
                        1.034                    0     +0.9335362017827020364268604098290175215996
                        1.035                    0     +0.9316265166646571655161222259992231613510
                        1.036                    0     +0.9297193320968239512333785552729540063361
                        1.037                    0     +0.9278146417564409592862654061256550460452
                        1.038                    0     +0.9259124393431504045126565444574492320870
                        1.039                    0     +0.9240127185788969725952100417514340590707
                        1.040                    0     +0.9221154732078271957883895736857072959121
                        1.041                    0     +0.9202206969961893790958521499797861610057
                        1.042                    0     +0.9183283837322340733623854601441958722123
                        1.043                    0     +0.9164385272261150917706505109902440725380
                        1.044                    0     +0.9145511213097910662588407422004250138808
                        1.045                    0     +0.9126661598369275404010093471392108096327
                        1.046                    0     +0.9107836366827995953172440880375406652927
                        1.047                    0     +0.9089035457441950052060854480373253714687
                        1.048                    0     +0.9070258809393179191165914575732449235352
                        1.049                    0     +0.9051506362076930656022528995735154060145
                        1.050                    0     +0.9032778055100704769235577477125945997208
                        1.051                    0     +0.9014073828283307294903955157567408729605
                        1.052                    0     +0.8995393621653906972596825660096868376575
                        1.053                    0     +0.8976737375451098148275801940972778019188
                        1.054                    0     +0.8958105030121968469794703101492175989315
                        1.055                    0     +0.8939496526321171614844505885891481317990
                        1.056                    0     +0.8920911804910005019445138576063806040455
                        1.057                    0     +0.8902350806955492575317870241610812360226
                        1.058                    0     +0.8883813473729472264702247423097520263758
                        1.059                    0     +0.8865299746707688701409840752005755934868
                        1.060                    0     +0.8846809567568890547133503001765607684117
                        1.061                    0     +0.8828342878193932772255424705566836052267
                        1.062                    0     +0.8809899620664883730620020681711025228593
                        1.063                    0     +0.8791479737264137017958607319361577146836
                        1.064                    0     +0.8773083170473528083871952871854005275208
                        1.065                    0     +0.8754709862973455567494117690129578784463
                        1.066                    0     +0.8736359757642007327176564549774360670402
                        1.067                    0     +0.8718032797554091134745327063343879695044
                        1.068                    0     +0.8699728925980570005096092546008821140998
                        1.069                    0     +0.8681448086387402132102400378822093954474
                        1.070                    0     +0.8663190222434785402020793494447798936991
                        1.071                    0     +0.8644955277976306455783704543702624547724
                        1.072                    0     +0.8626743197058094271776124882460424006336
                        1.073                    0     +0.8608553923917978240895708889783747997441
                        1.074                    0     +0.8590387402984650705897923281353301508557
                        1.075                    0     +0.8572243578876833937228175860144945379817
                        1.076                    0     +0.8554122396402451517741565244244960030764
                        1.077                    0     +0.8536023800557804108907997079301270819389
                        1.078                    0     +0.8517947736526749571295927485777038842602
                        1.079                    0     +0.8499894149679887412321935271653057508818
                        1.080                    0     +0.8481862985573747534445704881163188758097
                        1.081                    0     +0.8463854189949983257180836131610804750987
                        1.082                    0     +0.8445867708734568586481198357300878369583
                        1.083                    0     +0.8427903488036999705250329339547244773310
                        1.084                    0     +0.8409961474149500658907656926883140014708
                        1.085                    0     +0.8392041613546233210130106978665957498419
                        1.086                    0     +0.8374143852882510837070968504657645269347
                        1.087                    0     +0.8356268138994016849539728798517577405342
                        1.088                    0     +0.8338414418896026597806981020710707366071
                        1.089                    0     +0.8320582639782633748877456994352458386283
                        1.090                    0     +0.8302772749025980605251761727593673676892
                        1.091                    0     +0.8284984694175492441373496034629044815503
                        1.092                    0     +0.8267218422957115833133162136690500677015
                        1.093                    0     +0.8249473883272560955973566704252268004748
                        1.094                    0     +0.8231751023198547827313378750614728208896
                        1.095                    0     +0.8214049790986056469176078283530840402752
                        1.096                    0     +0.8196370135059580967080757725345081699240
                        1.097                    0     +0.8178712004016387401419123765520573911851
